Anime,Genres,Rating
Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,"['Drama', 'Fantasy', 'Ecchi', 'Isekai', 'Reincarnation']",8.70
Vinland_Saga_Season_2,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",8.70
Great_Teacher_Onizuka,"['Comedy', 'Delinquents', 'School', 'Workplace', 'Shounen']",8.69
Odd_Taxi,"['Award Winning', 'Mystery', 'Anthropomorphic']",8.69
One_Piece,"['Action', 'Adventure', 'Fantasy', 'Shounen']",8.69
Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,"['Action', 'Fantasy', 'Supernatural']",8.68
Violet_Evergarden,"['Drama', 'Fantasy']",8.67
Made_in_Abyss__Retsujitsu_no_Ougonkyou,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Gore', 'Survival']",8.67
Mononoke_Hime,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",8.67
Made_in_Abyss,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Gore', 'Survival']",8.66
Mushishi,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural', 'Adult Cast', 'Historical', 'Iyashikei', 'Seinen']",8.66
Hajime_no_Ippo__New_Challenger,"['Sports', 'Combat Sports', 'Shounen']",8.66
Howl_no_Ugoku_Shiro,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",8.66
JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,"['Action', 'Adventure', 'Supernatural', 'Shounen']",8.65
Natsume_Yuujinchou_Shi,"['Drama', 'Slice of Life', 'Supernatural', 'Iyashikei', 'Mythology', 'Shoujo']",8.65
Shigatsu_wa_Kimi_no_Uso,"['Drama', 'Romance', 'Love Polygon', 'Music', 'School', 'Shounen']",8.65
Jujutsu_Kaisen,"['Action', 'Award Winning', 'Fantasy', 'School', 'Shounen']",8.64
Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,"['Comedy', 'Psychological', 'Romantic Subtext', 'School', 'Seinen']",8.64
Haikyuu_Second_Season,"['Sports', 'School', 'Team Sports', 'Shounen']",8.63
Kimetsu_no_Yaiba__Katanakaji_no_Sato-hen,"['Action', 'Fantasy', 'Historical', 'Shounen']",8.63
Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Gore', 'Survival']",8.63
Spy_x_Family,"['Action', 'Award Winning', 'Comedy', 'Childcare', 'Shounen']",8.63
Tengen_Toppa_Gurren_Lagann,"['Action', 'Adventure', 'Award Winning', 'Sci-Fi', 'Mecha']",8.63
The_First_Slam_Dunk,"['Award Winning', 'Sports', 'School', 'Team Sports', 'Shounen']",8.63
Death_Note,"['Supernatural', 'Suspense', 'Detective', 'Psychological', 'Shounen']",8.62
Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,"['Action', 'Fantasy', 'Historical', 'Shounen']",8.62
Natsume_Yuujinchou_Roku,"['Drama', 'Slice of Life', 'Supernatural', 'Iyashikei', 'Mythology', 'Shoujo']",8.62
Ping_Pong_the_Animation,"['Award Winning', 'Drama', 'Sports', 'Seinen']",8.62
Shingeki_no_Kyojin_Season_3,"['Action', 'Drama', 'Gore', 'Military', 'Survival', 'Shounen']",8.62
Suzumiya_Haruhi_no_Shoushitsu,"['Award Winning', 'Mystery', 'Sci-Fi', 'Supernatural', 'School']",8.61
Cyberpunk__Edgerunners,"['Action', 'Sci-Fi', 'Gore', 'Psychological']",8.61
Evangelion__30_10_Thrice_Upon_a_Time,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Suspense', 'Mecha', 'Psychological']",8.61
Chainsaw_Man,"['Action', 'Fantasy', 'Gore', 'Shounen']",8.60
Mo_Dao_Zu_Shi__Wanjie_Pian,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Historical', 'Mythology', 'Reincarnation']",8.60
Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai,"['Drama', 'Romance', 'Supernatural', 'School']",8.60
Mushishi_Zoku_Shou__Suzu_no_Shizuku,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural', 'Adult Cast', 'Historical', 'Iyashikei', 'Seinen']",8.59
Hajime_no_Ippo__Rising,"['Sports', 'Combat Sports', 'Shounen']",8.59
JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,"['Action', 'Adventure', 'Supernatural', 'Organized Crime', 'Shounen']",8.58
Kizumonogatari_II__Nekketsu-hen,"['Action', 'Mystery', 'Supernatural', 'Vampire']",8.58
Ookami_Kodomo_no_Ame_to_Yuki,"['Award Winning', 'Fantasy', 'Slice of Life', 'Childcare']",8.58
Natsume_Yuujinchou_Go,"['Drama', 'Slice of Life', 'Supernatural', 'Iyashikei', 'Mythology', 'Shoujo']",8.57
Natsume_Yuujinchou_San,"['Drama', 'Slice of Life', 'Supernatural', 'Iyashikei', 'Mythology', 'Shoujo']",8.57
Shouwa_Genroku_Rakugo_Shinjuu,"['Drama', 'Historical', 'Love Polygon', 'Performing Arts', 'Josei']",8.57
Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen,"['Action', 'Sci-Fi', 'Mecha', 'Space', 'Super Power']",8.57
Yojouhan_Shinwa_Taikei,"['Award Winning', 'Comedy', 'Mystery', 'Romance', 'Psychological', 'Time Travel']",8.57
Kenpuu_Denki_Berserk,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Gore', 'Military', 'Seinen']",8.56
Kimi_no_Suizou_wo_Tabetai,"['Drama', 'Romance', 'School']",8.56
Neon_Genesis_Evangelion__The_End_of_Evangelion,"['Avant Garde', 'Drama', 'Sci-Fi', 'Mecha', 'Psychological']",8.55
Ousama_Ranking,"['Adventure', 'Fantasy']",8.55
Zoku_Natsume_Yuujinchou,"['Drama', 'Slice of Life', 'Supernatural', 'Iyashikei', 'Mythology', 'Shoujo']",8.55
Fate_Zero_2nd_Season,"['Action', 'Fantasy', 'Supernatural']",8.55
Fruits_Basket_2nd_Season,"['Drama', 'Romance', 'Supernatural', 'School', 'Shoujo']",8.55
Haikyuu_To_the_Top_Part_2,"['Sports', 'School', 'Team Sports', 'Shounen']",8.54
Mushishi__Hihamukage,"['Adventure', 'Mystery', 'Slice of Life', 'Supernatural', 'Adult Cast', 'Historical', 'Iyashikei', 'Seinen']",8.54
Nana,"['Drama', 'Romance', 'Adult Cast', 'Love Polygon', 'Music', 'Shoujo']",8.54
Perfect_Blue,"['Avant Garde', 'Drama', 'Horror', 'Adult Cast', 'Psychological', 'Showbiz']",8.54
Shingeki_no_Kyojin,"['Action', 'Award Winning', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",8.54
Shoujo☆Kageki_Revue_Starlight_Movie,"['Music', 'Performing Arts', 'School']",8.54
Slam_Dunk,"['Sports', 'School', 'Team Sports', 'Shounen']",8.54
Sora_yori_mo_Tooi_Basho,"['Adventure', 'Comedy', 'Drama', 'CGDCT']",8.53
Steins_Gate_0,"['Drama', 'Sci-Fi', 'Suspense', 'Time Travel']",8.53
Bakuman_3rd_Season,"['Comedy', 'Drama', 'Romance', 'Otaku Culture', 'Shounen']",8.53
Kara_no_Kyoukai_Movie_5__Mujun_Rasen,"['Action', 'Drama', 'Mystery', 'Romance', 'Supernatural', 'Suspense']",8.53
Karakai_Jouzu_no_Takagi-san_Movie,"['Iyashikei', 'Romantic Subtext', 'School', 'Shounen']",8.53
Yuru_Camp△_Season_2,"['Slice of Life', 'CGDCT', 'Iyashikei']",8.53
Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG,"['Action', 'Mystery', 'Sci-Fi', 'Adult Cast', 'Detective', 'Mecha', 'Military', 'Seinen']",8.52
Summertime_Render,"['Mystery', 'Supernatural', 'Suspense', 'Time Travel', 'Shounen']",8.52
Gintama_Movie_1__Shinyaku_Benizakura-hen,"['Action', 'Comedy', 'Sci-Fi', 'Historical', 'Parody', 'Samurai', 'Shounen']",8.52
Gintama__Porori-hen,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",8.52
Hotaru_no_Haka,"['Drama', 'Historical']",8.51
Yakusoku_no_Neverland,"['Fantasy', 'Mystery', 'Sci-Fi', 'Suspense', 'Psychological', 'Survival', 'Shounen']",8.51
Kimetsu_no_Yaiba,"['Action', 'Award Winning', 'Fantasy', 'Historical', 'Shounen']",8.51
Samurai_Champloo,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai']",8.51
One_Punch_Man,"['Action', 'Comedy', 'Adult Cast', 'Parody', 'Super Power', 'Seinen']",8.50
Shingeki_no_Kyojin_Season_2,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",8.50
Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly,"['Action', 'Fantasy', 'Supernatural']",8.50
JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,"['Action', 'Adventure', 'Supernatural', 'Shounen']",8.50
Uchuu_Kyoudai,"['Comedy', 'Sci-Fi', 'Adult Cast', 'Space', 'Workplace', 'Seinen']",8.50
Mob_Psycho_100,"['Action', 'Comedy', 'Supernatural', 'Super Power']",8.49
Road_of_Naruto,"['Action', 'Fantasy', 'Martial Arts', 'Shounen']",8.49
Ansatsu_Kyoushitsu_2nd_Season,"['Action', 'Comedy', 'School', 'Shounen']",8.49
Banana_Fish,"['Action', 'Adventure', 'Drama', 'Suspense', 'Delinquents', 'Organized Crime', 'Psychological', 'Shoujo']",8.49
Aria_the_Origination,"['Fantasy', 'Sci-Fi', 'Slice of Life', 'Iyashikei', 'Shounen']",8.48
Jujutsu_Kaisen_0_Movie,"['Action', 'Fantasy', 'School', 'Shounen']",8.48
Rainbow__Nisha_Rokubou_no_Shichinin,"['Drama', 'Suspense', 'Delinquents', 'Historical', 'Seinen']",8.48
Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari,"['Award Winning', 'Drama', 'Mystery', 'Suspense', 'Mahou Shoujo', 'Psychological']",8.47
Yuru_Camp△_Movie,"['Slice of Life', 'Adult Cast', 'CGDCT', 'Iyashikei']",8.47
Chihayafuru_3,"['Drama', 'Sports', 'Love Polygon', 'School', 'Strategy Game', 'Josei']",8.47
Gintama__The_Semi-Final,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",8.47
Bungou_Stray_Dogs_4th_Season,"['Action', 'Mystery', 'Supernatural', 'Adult Cast', 'Organized Crime', 'Super Power', 'Seinen']",8.46
Nichijou,"['Comedy', 'Gag Humor', 'School', 'Shounen']",8.46
Yuu☆Yuu☆Hakusho,"['Action', 'Fantasy', 'Mythology', 'Shounen']",8.46
